Treatment,Fatty Acids,Concentration
Commercial,Methyl Octanoate,0.33
Commercial,Methyl Octanoate,0.33
Commercial,Methyl Octanoate,0.31
Commercial,Methyl Decanoate,0.13
Commercial,Methyl Decanoate,0.15
Commercial,Methyl Decanoate,0.11
Commercial,Methyl Laurate,12.44
Commercial,Methyl Laurate,14.44
Commercial,Methyl Laurate,13.44
Commercial,Methyl Tridecanoate,2.58
Commercial,Methyl Tridecanoate,2.61
Commercial,Methyl Tridecanoate,2.55
Commercial,Methyl Myristate,23.83
Commercial,Methyl Myristate,22.83
Commercial,Methyl Myristate,21.83
Commercial,Methyl Palmitoleate,5.66
Commercial,Methyl Palmitoleate,5.69
Commercial,Methyl Palmitoleate,5.63
Commercial,Methyl Palmitate,0.10
Commercial,Methyl Palmitate,0.07
Commercial,Methyl Palmitate,0.08
Commercial,Methyl Linoleate,72.07
Commercial,Methyl Linoleate,67.07
Commercial,Methyl Linoleate,77.07
Commercial,Methyl Oleate,1.36
Commercial,Methyl Oleate,1.39
Commercial,Methyl Oleate,1.33
Commercial,Methyl Linolenate,0.26
Commercial,Methyl Linolenate,0.22
Commercial,Methyl Linolenate,0.24
Commercial,Methyl Stearate,2.56
Commercial,Methyl Stearate,2.52
Commercial,Methyl Stearate,2.48
Commercial,Methyl Arachidate,0.18
Commercial,Methyl Arachidate,0.20
Commercial,Methyl Arachidate,0.16
Commercial,Methyl Arachidonate,0.30
Commercial,Methyl Arachidonate,0.20
Commercial,Methyl Arachidonate,0.10
Commercial,Methyl Eicosapaennoate,0.00
Commercial,Methyl Eicosapaennoate,0.00
Commercial,Methyl Eicosapaennoate,0.00
Commercial,Methyl 11-14-17-Eicosatrienoate,4.56
Commercial,Methyl 11-14-17-Eicosatrienoate,4.36
Commercial,Methyl 11-14-17-Eicosatrienoate,4.76
Commercial,Methyl Heptadecanoate,3.49
Commercial,Methyl Heptadecanoate,3.52
Commercial,Methyl Heptadecanoate,3.46
Commercial,Methyl Heneicosanoate,2.11
Commercial,Methyl Heneicosanoate,2.14
Commercial,Methyl Heneicosanoate,2.07
Commercial,Methyl Docosahexaenoate,0.64
Commercial,Methyl Docosahexaenoate,0.84
Commercial,Methyl Docosahexaenoate,0.44
Commercial,Methyl Erucate,21.76
Commercial,Methyl Erucate,24.76
Commercial,Methyl Erucate,18.76
Commercial,Methyl 11-Eicosenponoate,0.01
Commercial,Methyl 11-Eicosenponoate,0.01
Commercial,Methyl 11-Eicosenponoate,0.01
Commercial,Methyl Behenate,0.17
Commercial,Methyl Behenate,0.15
Commercial,Methyl Behenate,0.19
Commercial,Methyl Nervonate,0.01
Commercial,Methyl Nervonate,0.02
Commercial,Methyl Nervonate,0.00
Control,Methyl Octanoate,1.73
Control,Methyl Octanoate,1.83
Control,Methyl Octanoate,1.93
Control,Methyl Decanoate,0.11
Control,Methyl Decanoate,0.12
Control,Methyl Decanoate,0.13
Control,Methyl Laurate,10.85
Control,Methyl Laurate,9.85
Control,Methyl Laurate,13.85
Control,Methyl Tridecanoate,5.36
Control,Methyl Tridecanoate,5.39
Control,Methyl Tridecanoate,5.33
Control,Methyl Myristate,0.86
Control,Methyl Myristate,0.85
Control,Methyl Myristate,0.88
Control,Methyl Palmitoleate,14.80
Control,Methyl Palmitoleate,14.90
Control,Methyl Palmitoleate,14.70
Control,Methyl Palmitate,0.19
Control,Methyl Palmitate,0.24
Control,Methyl Palmitate,0.14
Control,Methyl Linoleate,60.64
Control,Methyl Linoleate,58.64
Control,Methyl Linoleate,62.64
Control,Methyl Oleate,1.21
Control,Methyl Oleate,1.22
Control,Methyl Oleate,1.20
Control,Methyl Linolenate,0.85
Control,Methyl Linolenate,0.88
Control,Methyl Linolenate,0.82
Control,Methyl Stearate,1.20
Control,Methyl Stearate,1.14
Control,Methyl Stearate,1.26
Control,Methyl Arachidate,1.20
Control,Methyl Arachidate,1.28
Control,Methyl Arachidate,1.24
Control,Methyl Arachidonate,0.05
Control,Methyl Arachidonate,0.08
Control,Methyl Arachidonate,0.02
Control,Methyl Eicosapaennoate,0.08
Control,Methyl Eicosapaennoate,0.05
Control,Methyl Eicosapaennoate,0.02
Control,Methyl 11-14-17-Eicosatrienoate,4.12
Control,Methyl 11-14-17-Eicosatrienoate,4.15
Control,Methyl 11-14-17-Eicosatrienoate,4.09
Control,Methyl Heptadecanoate,2.08
Control,Methyl Heptadecanoate,2.11
Control,Methyl Heptadecanoate,2.05
Control,Methyl Heneicosanoate,3.15
Control,Methyl Heneicosanoate,3.19
Control,Methyl Heneicosanoate,3.11
Control,Methyl Docosahexaenoate,0.60
Control,Methyl Docosahexaenoate,0.90
Control,Methyl Docosahexaenoate,0.30
Control,Methyl Erucate,15.50
Control,Methyl Erucate,17.50
Control,Methyl Erucate,13.50
Control,Methyl 11-Eicosenponoate,0.01
Control,Methyl 11-Eicosenponoate,0.01
Control,Methyl 11-Eicosenponoate,0.01
Control,Methyl Behenate,0.68
Control,Methyl Behenate,0.71
Control,Methyl Behenate,0.65
Control,Methyl Nervonate,0.03
Control,Methyl Nervonate,0.05
Control,Methyl Nervonate,0.03
T1 (5%),Methyl Octanoate,1.63
T1 (5%),Methyl Octanoate,1.62
T1 (5%),Methyl Octanoate,1.61
T1 (5%),Methyl Decanoate,1.55
T1 (5%),Methyl Decanoate,1.58
T1 (5%),Methyl Decanoate,1.52
T1 (5%),Methyl Laurate,11.04
T1 (5%),Methyl Laurate,12.04
T1 (5%),Methyl Laurate,10.04
T1 (5%),Methyl Tridecanoate,4.84
T1 (5%),Methyl Tridecanoate,4.94
T1 (5%),Methyl Tridecanoate,4.74
T1 (5%),Methyl Myristate,0.78
