SL..NO.,Month,Color,Deform,Trt,SL,SH,SW,LL,PL,AL,UL,LCT,LPAS,PW,AW,PVM,PS,CT..RIGHT.TEETH.,Total.wt,muscle.wt
1,January,A1,,1,41.47,33,22.63,8.01,34.06,24.97,32.25,24.3,24.41,7.83,4.47,7.29,7.68,5.18,24.5,5.72
2,January,A2,,1,39.85,31.55,21.4,9.94,31.82,24.01,29.02,18.62,21.62,6.71,4.77,8.15,7.11,6.45,22.37,4.6
3,January,A3,,1,39.48,33.25,22.92,9.83,32.86,25.63,29.87,17.27,22.61,6.17,5.01,6.76,8.26,7.38,22.22,4.09
4,January,A4,,1,41.09,35.11,22.71,10.52,34.16,26.59,32.35,15.56,22.86,7.61,4.47,8.5,6.53,6.52,24.4,4.17
5,January,A5,,1,35.13,29.42,20.18,9.51,27.69,22.84,28.06,15.21,18.84,7.51,4.42,7.22,7,6,20.03,2.87
6,January,A6,,1,41.42,33.27,22.59,10.35,35.56,24.88,33.47,17.73,22.53,7.49,5.74,7.63,7.05,7.62,24.51,5.08
7,January,A7,,1,39.84,31.6,22.98,9.87,32.9,24.06,29.92,14.89,20.96,8.31,4.94,8.2,7.85,7.43,21.98,3
8,January,A8,,1,36.42,30.33,21.51,9.65,31.4,21.92,29.8,12.3,20.43,6.38,4.29,6.68,6.08,5.97,19.01,3.28
9,January,A9,,1,38.37,31.39,19.63,10.24,31.21,24.29,29.31,16.85,21.05,5.92,4.27,8.02,7.06,7.04,21.14,2.67
10,January,A10,,1,43.66,35.73,25.7,11.73,36.22,26.97,34.72,17.61,24.87,6.81,4.68,10.04,7.41,7.86,26.31,5.9
13,January,A13,,1,45.84,36.87,28.83,15.34,27.98,20.47,28,17.11,23.28,5.41,3.72,7.77,5.55,4.35,25.56,5.12
15,January,A15,,1,40.05,32.63,20.38,10.78,31,22.74,31.12,17.64,22.3,6.23,4.63,7.89,6.23,4.89,23.59,3.01
16,January,A16,,1,34.01,28.89,21.03,8.64,25.64,19.32,26.49,16.14,21.4,5.2,4.25,6.61,5,4.61,19.53,2.76
17,January,A17,,1,38.68,32.48,23.19,9.99,28.55,21.11,29.1,17.42,25.17,6.39,4.22,7.02,5.71,4.41,21.56,3.28
18,January,A18,,1,38.62,33.3,22.67,10.04,29.18,22.87,29.68,18.2,23.7,6.04,4.42,6.26,5.54,4.77,22.35,2.98
19,January,A19,,1,39.99,33.8,26.19,10.13,30.64,22.14,30.34,18.19,24.06,7.17,4.43,7.87,7.26,4.66,23.32,2.76
20,January,A20,,1,35.61,29.46,21.83,7.23,27.28,20.22,27.88,15.41,22.36,5.5,4.02,5.94,3.97,3.49,19.52,3.09
21,January,A21,,1,40.42,32.99,23.69,10.87,31.32,22.63,30.59,16.68,25.42,6.78,4.37,7.56,6.44,5.36,23.82,3.16
22,January,A22,,1,34.42,27.28,18.15,9.19,24.75,17.35,25.74,15.89,21.46,5.53,3.53,5.8,6.38,5.05,19.13,3.65
23,January,A23,D,1,37.88,31.94,22.26,10,29.08,21.13,29.51,16.13,22.67,6.12,4.49,7.18,5.98,4.48,20.91,3.86
24,January,A24,,1,41.35,33.91,22.56,10.36,31.12,23.4,31.56,18.09,25.69,7.3,4.76,7.12,6.14,5.11,24.5,3.58
25,January,A25,D,1,39.17,32.99,21.83,9.04,30.92,22.55,30.73,18.59,23.64,6.59,4.41,7.39,6.03,4.81,22.52,4.49
26,January,A26,,1,40.6,30.1,22.36,9.51,29.01,20.96,29.43,19.58,25.42,6.61,4.62,6.41,7.8,4.71,23.4,3.38
27,January,A27,,1,34.29,28.08,17.78,8.13,25.83,19,25.41,15.32,21.36,5.49,3.62,5.81,6.41,4.36,18.14,3.4
28,January,A28,,1,41.28,34.43,30.28,8.15,31.94,23.92,31.36,17.91,23.83,7.21,4.93,8.78,6.97,3.38,25.3,3.76
29,January,A29,,1,31.56,27.42,18.25,6.55,23.17,18.62,23.11,14.34,20.04,5.15,3.37,6.56,5.05,3.17,18.18,3.08
30,January,A30,,1,31.37,26.48,17.32,7.31,23.01,17.91,23.1,14.66,18.36,5.13,3.41,5.81,5.08,3.82,18.23,4.42
31,January,A31,,1,40.01,34.13,23.43,11.44,29.82,22.6,30.79,19.77,25.42,6.81,4.51,7.21,6.07,5.22,23.97,3.59
32,January,A32,,1,38.52,31.16,20.15,9.6,29.14,20.45,28.95,17.63,23.01,6.99,4.48,7.73,6.1,4.69,22.83,3.25
