"","Month","Color","Deform","Trt","SL","SH","SW","LL","PL","AL","UL","LCT","LPAS","PW","AW","PVM","PS","CT (RIGHT TEETH)","Total wt","muscle wt"
"1","January","A1",NA,1,41.47,22.01125,16.963125,8.01,20.9725,14.54125,32.25,11.8525,16.1825,7.83,2.86,5.03,7.68,2.7855,24.5,5.72
"2","January","A2",NA,1,39.85,22.01125,16.963125,9.94,20.9725,14.54125,29.02,11.8525,16.1825,6.71,2.86,5.03,7.11,2.7855,22.37,4.6
"3","January","A3",NA,1,39.48,22.01125,16.963125,9.83,20.9725,14.54125,29.87,11.8525,16.1825,6.17,2.86,5.03,8.26,2.7855,22.22,4.09
"4","January","A4",NA,1,41.09,22.01125,16.963125,10.52,20.9725,14.54125,32.35,11.8525,16.1825,7.61,2.86,5.03,6.53,2.7855,24.4,4.17
"5","January","A5",NA,1,35.13,22.01125,16.963125,9.51,20.9725,14.54125,28.06,11.8525,16.1825,7.51,2.86,5.03,7,2.7855,20.03,2.87
"6","January","A6",NA,1,41.42,22.01125,16.963125,10.35,20.9725,14.54125,33.47,11.8525,16.1825,7.49,2.86,5.03,7.05,2.7855,24.51,5.08
"7","January","A7",NA,1,39.84,22.01125,16.963125,9.87,20.9725,14.54125,29.92,11.8525,16.1825,8.31,2.86,5.03,7.85,2.7855,21.98,3
"8","January","A8",NA,1,36.42,22.01125,16.963125,9.65,20.9725,14.54125,29.8,11.8525,16.1825,6.38,2.86,5.03,6.08,2.7855,19.01,3.28
"9","January","A9",NA,1,38.37,22.01125,16.963125,10.24,20.9725,14.54125,29.31,11.8525,16.1825,5.92,2.86,5.03,7.06,2.7855,21.14,2.67
"10","January","A10",NA,1,43.66,22.01125,16.963125,11.73,20.9725,14.54125,34.72,11.8525,16.1825,6.81,2.86,5.03,7.41,2.7855,26.31,5.9
"11","January","A11",NA,1,33.49,22.01125,16.963125,9.15,20.9725,14.54125,26.77,11.8525,16.1825,6.03,2.86,5.03,5.48,2.7855,18.12,5.06
"12","January","A12",NA,1,42.09,22.01125,16.963125,11.75,20.9725,14.54125,30.75,11.8525,16.1825,8.78,2.86,5.03,8.78,2.7855,24.66,4.7
"13","January","A13",NA,1,45.84,22.01125,16.963125,15.34,20.9725,14.54125,28,11.8525,16.1825,5.41,2.86,5.03,5.55,2.7855,25.56,5.12
"14","January","A14","D",1,43.56,22.01125,16.963125,8.43,20.9725,14.54125,30.25,11.8525,16.1825,6.35,2.86,5.03,5.89,2.7855,28.64,4.45
"15","January","A15",NA,1,40.05,22.01125,16.963125,10.78,20.9725,14.54125,31.12,11.8525,16.1825,6.23,2.86,5.03,6.23,2.7855,23.59,3.01
"16","January","A16",NA,1,34.01,22.01125,16.963125,8.64,20.9725,14.54125,26.49,11.8525,16.1825,5.2,2.86,5.03,5,2.7855,19.53,2.76
"17","January","A17",NA,1,38.68,22.01125,16.963125,9.99,20.9725,14.54125,29.1,11.8525,16.1825,6.39,2.86,5.03,5.71,2.7855,21.56,3.28
"18","January","A18",NA,1,38.62,22.01125,16.963125,10.04,20.9725,14.54125,29.68,11.8525,16.1825,6.04,2.86,5.03,5.54,2.7855,22.35,2.98
"19","January","A19",NA,1,39.99,22.01125,16.963125,10.13,20.9725,14.54125,30.34,11.8525,16.1825,7.17,2.86,5.03,7.26,2.7855,23.32,2.76
"20","January","A20",NA,1,35.61,22.01125,16.963125,7.23,20.9725,14.54125,27.88,11.8525,16.1825,5.5,2.86,5.03,3.97,2.7855,19.52,3.09
"21","January","A21",NA,1,40.42,22.01125,16.963125,10.87,20.9725,14.54125,30.59,11.8525,16.1825,6.78,2.86,5.03,6.44,2.7855,23.82,3.16
"22","January","A22",NA,1,34.42,22.01125,16.963125,9.19,20.9725,14.54125,25.74,11.8525,16.1825,5.53,2.86,5.03,6.38,2.7855,19.13,3.65
"23","January","A23","D",1,37.88,22.01125,16.963125,10,20.9725,14.54125,29.51,11.8525,16.1825,6.12,2.86,5.03,5.98,2.7855,20.91,3.86
"24","January","A24",NA,1,41.35,22.01125,16.963125,10.36,20.9725,14.54125,31.56,11.8525,16.1825,7.3,2.86,5.03,6.14,2.7855,24.5,3.58
"25","January","A25","D",1,39.17,22.01125,16.963125,9.04,20.9725,14.54125,30.73,11.8525,16.1825,6.59,2.86,5.03,6.03,2.7855,22.52,4.49
"26","January","A26",NA,1,40.6,22.01125,16.963125,9.51,20.9725,14.54125,29.43,11.8525,16.1825,6.61,2.86,5.03,7.8,2.7855,23.4,3.38
"27","January","A27",NA,1,34.29,22.01125,16.963125,8.13,20.9725,14.54125,25.41,11.8525,16.1825,5.49,2.86,5.03,6.41,2.7855,18.14,3.4
"28","January","A28",NA,1,41.28,22.01125,16.963125,8.15,20.9725,14.54125,31.36,11.8525,16.1825,7.21,2.86,5.03,6.97,2.7855,25.3,3.76
"29","January","A29",NA,1,31.56,22.01125,16.963125,6.55,20.9725,14.54125,23.11,11.8525,16.1825,5.15,2.86,5.03,5.05,2.7855,18.18,3.08
"30","January","A30",NA,1,31.37,22.01125,16.963125,7.31,20.9725,14.54125,23.1,11.8525,16.1825,5.13,2.86,5.03,5.08,2.7855,18.23,4.42
"31","January","A31",NA,1,40.01,22.01125,16.963125,11.44,20.9725,14.54125,30.79,11.8525,16.1825,6.81,2.86,5.03,6.07,2.7855,23.97,3.59
"32","January","A32",NA,1,38.52,22.01125,16.963125,9.6,20.9725,14.54125,28.95,11.8525,16.1825,6.99,2.86,5.03,6.1,2.7855,22.83,3.25
"33","January","A33",NA,1,35.99,22.01125,16.963125,9.25,20.9725,14.54125,26.58,11.8525,6.4,3.96,2.86,5.03,4.56,2.7855,21.13,3.59
"34","January","A34",NA,1,38.57,22.01125,16.963125,10.49,20.9725,14.54125,29.63,11.8525,16.1825,6.37,2.86,5.03,5.72,2.7855,22.82,4.27
"35","January","A35",NA,1,39.28,22.01125,16.963125,9.12,20.9725,14.54125,29.64,11.8525,16.1825,6.65,2.86,5.03,5.6,2.7855,18.03,3.21
"36","January","A36",NA,1,37.94,22.01125,16.963125,9.74,20.9725,14.54125,28.7,11.8525,16.1825,5.9,2.86,5.03,5.25,2.7855,19.05,2.94
"37","January","A37",NA,1,38.1,22.01125,16.963125,9.86,20.9725,14.54125,29.19,11.8525,16.1825,6.88,2.86,5.03,6.61,2.7855,21.87,4.14
"38","January","A38",NA,1,34.95,22.01125,16.963125,7.98,20.9725,14.54125,24.96,11.8525,16.1825,5.31,2.86,5.03,5.34,2.7855,19.26,3.41
"39","January","A39",NA,1,21.09,17.69,11.51,3.63,15.15,12.13,15.24,9.59,11.34,3.96,2.86,4.26,3.45,2.7855,17.66,3.44
"40","January","A40",NA,1,22.74,18.61,11.28,4.04,16.42,13.11,15.75,9.91,12.76,4.13,2.86,4.31,3.97,2.66,17.8,3.28
"41","January","A41",NA,1,43.92,22.01125,16.963125,9.35,20.9725,14.54125,31.87,11.8525,16.1825,6.94,2.86,5.03,5.95,2.7855,23.77,3.55
"42","January","A42",NA,1,39.07,22.01125,16.963125,8.7,20.9725,14.54125,28.35,11.8525,16.1825,7.38,2.86,5.03,5.88,2.7855,22.04,2.85
"43","January","A43",NA,1,36.37,22.01125,16.963125,8.28,20.9725,14.54125,27.2,11.8525,16.1825,5.36,2.86,5.03,5.35,2.7855,19.4,2.95
"44","January","A44","D",1,28.12,22.01125,15.4,5.85,20.9725,14.54125,20.44,11.8525,16.1825,4.85,2.86,4.86,4.77,2.7855,14.2,2.38
"45","January","A45",NA,1,40.99,22.01125,16.963125,9.59,20.9725,14.54125,30.49,11.8525,16.1825,6.52,2.86,5.03,6.39,2.7855,23.19,3.44
"46","January","A46",NA,1,30.64,22.01125,16.95,6.57,20.9725,14.54125,22.91,11.8525,16.1825,4.81,2.86,4.98,5.45,2.7855,19.35,3.36
"47","January","A47",NA,1,32.98,22.01125,16.963125,7.18,20.9725,14.54125,24.59,11.8525,16.1825,4.74,2.86,5.03,4.9,2.7855,19.98,3.61
"48","January","A48","D",1,37.85,22.01125,16.963125,8.49,20.9725,14.54125,27.48,11.8525,16.1825,5.44,2.86,5.03,5.9,2.7855,20.7,3.11
"49","January","A49",NA,1,26.84,22.01125,14.32,4.68,19.51,14.54125,19.46,11.8525,16.1825,5.01,2.86,4.91,4.54,2.7855,17.8,4.01
"50","January","C1",NA,2,38.21,22.01125,16.963125,18.495,20.9725,14.54125,16.4,11.8525,5.6,4.45,2.86,5.03,7.85,2.7855,21.51,4.14
"51","January","C2",NA,2,39.82,22.01125,16.963125,11.12,20.9725,14.54125,30.49,11.8525,16.1825,5.95,2.86,5.03,6.44,2.7855,22.32,3.7
"52","January","C3",NA,2,36.16,22.01125,16.963125,6.83,20.9725,14.54125,27.21,11.8525,16.1825,5.82,2.86,5.03,6.67,2.7855,18.35,3.67
"53","January","C4",NA,2,38.9,22.01125,16.963125,10.1,20.9725,14.54125,29.7,11.8525,16.1825,6.28,2.86,5.03,7.59,2.7855,19.55,3.66
"54","January","C5",NA,2,38.63,22.01125,16.963125,11.88,20.9725,14.54125,29.06,11.8525,16.1825,7.34,2.86,5.03,6.76,2.7855,21.36,4.33
"55","January","C6",NA,2,37.49,22.01125,16.963125,10.51,20.9725,14.54125,29.91,11.8525,16.1825,6.88,2.86,5.03,6.69,2.7855,20.44,3.49
"56","January","C7",NA,2,40.74,22.01125,16.963125,11.05,20.9725,14.54125,31.31,11.8525,16.1825,7.6,2.86,5.03,6.63,2.7855,23.6,3.24
"57","January","C8",NA,2,43.37,22.01125,16.963125,10.01,20.9725,14.54125,33.45,11.8525,16.1825,8.83,2.86,5.03,7.95,2.7855,26.97,3.03
"58","January","C9",NA,2,36.15,22.01125,16.963125,8.2,20.9725,14.54125,27.09,11.8525,16.1825,7.01,2.86,5.03,6.1,2.7855,20.13,4.13
"59","January","C10",NA,2,38.15,22.01125,16.963125,9.74,20.9725,14.54125,28.74,11.8525,16.1825,7.46,2.86,5.03,6.55,2.7855,21.26,3.48
"60","January","C11","D",2,38.31,22.01125,16.963125,10.91,20.9725,14.54125,30.19,11.8525,16.1825,6.84,2.86,5.03,7.65,2.7855,21.38,3.23
"61","January","C12",NA,2,41.72,22.01125,16.963125,10.3,20.9725,14.54125,31.84,11.8525,16.1825,8.35,2.86,5.03,7.49,2.7855,24.38,2.61
"62","January","C13",NA,2,40.83,22.01125,16.963125,9.44,20.9725,14.54125,32.48,11.8525,16.1825,7.25,2.86,5.03,8.45,2.7855,23.99,4.4
"63","January","C14",NA,2,38.04,22.01125,16.963125,11.33,20.9725,14.54125,30.35,11.8525,16.1825,6.97,2.86,5.03,7.05,2.7855,21.8,3.78
"64","January","C15",NA,2,40.39,22.01125,16.963125,8.24,20.9725,14.54125,31.6,11.8525,16.1825,7.06,2.86,5.03,7.29,2.7855,23.63,4.78
"65","January","C16",NA,2,33.55,22.01125,16.963125,10.05,20.9725,14.54125,26.99,11.8525,16.1825,6.06,2.86,5.03,6.36,2.7855,18.12,3.05
"66","January","C17","D",2,38.62,22.01125,16.963125,10.15,20.9725,14.54125,28.93,11.8525,16.1825,7.1,2.86,5.03,6.87,2.7855,21.15,3.55
"67","January","C18",NA,2,37.68,22.01125,16.963125,9.55,20.9725,14.54125,29.64,11.8525,16.1825,6.27,2.86,5.03,7.14,2.7855,20.32,4.04
"68","January","C19",NA,2,37.93,22.01125,16.963125,7.99,20.9725,14.54125,28.97,11.8525,16.1825,6.69,2.86,5.03,7.12,2.7855,21.28,3.64
"69","January","C20",NA,2,37.76,22.01125,16.963125,10.28,20.9725,14.54125,31.64,11.8525,16.1825,7.92,2.86,5.03,7.14,2.7855,21.68,3.15
"70","January","C21",NA,2,42.73,22.01125,16.963125,9.11,20.9725,14.54125,32.19,11.8525,16.1825,8.31,2.86,5.03,6.35,2.7855,25.41,4.7
"71","January","C22",NA,2,42.01,22.01125,16.963125,9.35,20.9725,14.54125,32.39,11.8525,16.1825,7.81,2.86,5.03,7.37,2.7855,24.54,3.64
"72","January","C23",NA,2,40.77,22.01125,16.963125,9.34,20.9725,14.54125,29.51,11.8525,16.1825,6.01,2.86,5.03,7.18,2.7855,23.63,4.27
"73","January","C24",NA,2,41.41,22.01125,16.963125,10.56,20.9725,14.54125,33.8,11.8525,16.1825,7.33,2.86,5.03,6.76,2.7855,24.46,2.55
"74","January","C25",NA,2,37.34,22.01125,16.963125,11.51,20.9725,14.54125,30.21,11.8525,16.1825,6.69,2.86,5.03,5.63,2.7855,20.96,5.11
"75","January","C26","D",2,40.54,22.01125,16.963125,11.57,20.9725,14.54125,30.55,11.8525,16.1825,7.25,2.86,5.03,6.48,2.7855,23.26,3.16
"76","January","C27",NA,2,39.13,22.01125,16.963125,10.45,20.9725,14.54125,29.37,11.8525,16.1825,6.73,2.86,5.03,7.39,2.7855,22.2,3.1
"77","January","C28",NA,2,38.41,22.01125,16.963125,10.16,20.9725,14.54125,29.62,11.8525,16.1825,6.88,2.86,5.03,6.07,2.7855,21.78,2.5
"78","January","C29",NA,2,40.35,22.01125,16.963125,10.78,20.9725,14.54125,32.31,11.8525,16.1825,6.38,2.86,5.03,6.7,2.7855,23.44,3.69
"79","January","C30",NA,2,30.62,22.01125,16.963125,6.93,20.9725,14.54125,22.24,11.8525,16.16,5.06,2.86,5.03,6.25,2.7855,17.55,4.14
"80","January","C31",NA,2,39.93,22.01125,16.963125,9.47,20.9725,14.54125,31.63,11.8525,16.1825,6.39,2.86,5.03,5.72,2.7855,22.28,3.92
"81","January","C32",NA,2,37.98,22.01125,16.963125,9.42,20.9725,14.54125,29.88,11.8525,16.1825,7.1,2.86,5.03,5.55,2.7855,20.78,3.61
"82","January","C33",NA,2,40.02,22.01125,16.963125,9.05,20.9725,14.54125,31.51,11.8525,16.1825,7.01,2.86,5.03,6.69,2.7855,23.77,4.5
"83","January","D1",NA,3,39.98,22.01125,16.963125,8.78,20.9725,14.54125,30.21,11.8525,16.1825,7.87,2.86,5.03,6.2,2.7855,22.27,3.86
"84","January","D2",NA,3,38.33,22.01125,16.963125,9.95,20.9725,14.54125,18.56,11.8525,6.22,3.87,2.86,5.03,4.47,2.7855,21.12,5.02
"85","January","D3",NA,3,38.57,22.01125,16.963125,9.54,20.9725,14.54125,28.64,11.8525,5.69,4,2.86,5.03,4.95,2.7855,21.38,4.46
"86","January","D4","D",3,28.31,22.01125,15.67,5.84,20.85,14.54125,20.46,11.8525,16.1825,4.38,2.86,5.03,4.72,2.7855,17.22,3.29
"87","January","D5",NA,3,37.39,22.01125,16.963125,9.84,20.9725,14.54125,28.34,11.8525,16.1825,5.16,2.86,5.03,4.46,2.7855,20.58,5.5
"88","January","D6",NA,3,39.81,22.01125,16.963125,7.57,20.9725,14.54125,28.09,11.8525,16.1825,6.26,2.86,5.03,5.29,2.7855,22.79,4.31
"89","January","E1",NA,4,42.45,22.01125,16.963125,10.65,20.9725,14.54125,32.38,11.8525,16.1825,8.24,2.86,5.03,6.74,2.7855,25.41,4.3
"90","January","E2",NA,4,33.57,22.01125,16.963125,9.05,20.9725,14.54125,27.25,11.8525,16.1825,6.5,2.86,5.03,5.76,2.7855,18.16,5.4
"91","January","E3",NA,4,38.05,22.01125,16.963125,10.6,20.9725,14.54125,30.81,11.8525,7.94,6.89,2.86,5.03,6.49,2.7855,22.76,4.71
"92","January","E4",NA,4,40.06,22.01125,16.963125,10.7,20.9725,14.54125,29.79,11.8525,16.1825,7.85,2.86,5.03,6.64,2.7855,23.5,4.85
"93","January","E5",NA,4,37.62,22.01125,16.963125,7.62,20.9725,14.54125,27.53,11.8525,16.1825,6.02,2.86,5.03,4.95,2.7855,20.06,4.77
"94","January","E6",NA,4,34.31,22.01125,16.963125,8.53,20.9725,14.54125,26.17,11.8525,16.1825,4.76,2.86,5.03,4.93,2.7855,19.61,4.41
"95","January","E7",NA,4,43.76,22.01125,16.963125,9.88,20.9725,14.54125,32.39,11.8525,16.1825,6.68,2.86,5.03,6.07,2.7855,27.83,4.49
"96","January","E8",NA,4,37.27,22.01125,16.963125,8.16,20.9725,14.54125,28.4,11.8525,16.1825,6.16,2.86,5.03,4.2,2.7855,20.75,3.72
"97","January","E9",NA,4,42,22.01125,16.963125,8.18,20.9725,14.54125,30.21,11.8525,16.1825,6.88,2.86,5.03,6.16,2.7855,25.3,3.21
"98","January","G1",NA,5,41.46,22.01125,16.963125,11.37,20.9725,14.54125,33.49,11.8525,16.1825,6.7,2.86,5.03,6.69,2.7855,24.17,3.75
"99","January","G2",NA,5,42.3,22.01125,16.963125,11.64,20.9725,14.54125,32.57,11.8525,16.1825,7.56,2.86,5.03,7.31,2.7855,23.81,5.5
"100","January","G3",NA,5,41.64,22.01125,16.963125,11.9,20.9725,14.54125,33.3,11.8525,16.1825,7.32,2.86,5.03,7.67,2.7855,23.23,3.74
"101","January","G4",NA,5,41.79,22.01125,16.963125,10.41,20.9725,14.54125,31.92,11.8525,16.1825,8.2,2.86,5.03,6.77,2.7855,24.25,4.27
"102","January","G5",NA,5,38.88,22.01125,16.963125,10.53,20.9725,14.54125,31.03,11.8525,16.1825,6.68,2.86,5.03,6.17,2.7855,22.81,3.37
"103","January","G6",NA,5,39.7,22.01125,16.963125,10.34,20.9725,14.54125,30.87,11.8525,16.1825,7.55,2.86,5.03,5.72,2.7855,22.12,4.76
"104","January","G7",NA,5,39.42,22.01125,16.963125,9.65,20.9725,14.54125,30.04,11.8525,16.1825,7.05,2.86,5.03,6.8,2.7855,22.5,4
"105","January","G8",NA,5,39.78,22.01125,16.963125,11.15,20.9725,14.54125,31.39,7.49,16.1825,7.95,2.86,5.03,7.46,2.7855,12.44,4.72
"106","January","G9",NA,5,37.88,22.01125,16.963125,10.72,20.9725,14.54125,29.09,11.8525,16.1825,7.08,2.86,5.03,6.16,2.7855,20.06,3.93
"107","January","G10","D",5,35.29,22.01125,16.963125,10.57,20.9725,14.54125,27.19,11.8525,16.1825,6.82,2.86,5.03,5.18,2.7855,18.58,4.01
"108","January","G11",NA,5,39.93,22.01125,16.963125,10.62,20.9725,14.54125,31.69,11.8525,8.57,7.41,2.86,5.03,6.48,2.7855,22.47,5.09
"109","January","G12",NA,5,38.45,22.01125,16.963125,9.4,20.9725,14.54125,31.27,11.8525,16.1825,7.09,2.86,5.03,7.74,2.7855,21.69,4.54
"110","January","G13",NA,5,39.93,22.01125,16.963125,9.82,20.9725,14.54125,30.86,11.8525,16.1825,7.55,2.86,5.03,7.06,2.7855,22.7,5.25
"111","January","G14",NA,5,40.5,22.01125,16.963125,10.9,20.9725,14.54125,34.2,11.8525,16.1825,8.01,2.86,5.03,8.06,2.7855,23.38,3.32
"112","January","G15",NA,5,39.55,22.01125,16.963125,10.34,20.9725,14.54125,31.65,11.8525,16.1825,6.68,2.86,5.03,7.06,2.7855,22.21,3.89
"113","January","G16",NA,5,35,22.01125,16.963125,9.51,20.9725,14.54125,28.04,11.8525,16.1825,5.75,2.86,5.03,5.78,2.7855,19.48,5.14
"114","January","G17",NA,5,37.83,22.01125,16.963125,9.84,20.9725,14.54125,29.97,11.8525,16.1825,7.01,2.86,5.03,6.71,2.7855,20.24,5.19
"115","January","G18",NA,5,41,22.01125,16.963125,11.53,20.9725,14.54125,30.85,11.8525,16.1825,7.14,2.86,5.03,8.32,2.7855,24.14,4.5
"116","January","G19",NA,5,41.42,22.01125,16.963125,11.64,20.9725,14.54125,30.07,11.8525,16.1825,6.65,2.86,5.03,7.54,2.7855,23.26,5.64
"117","January","G20",NA,5,38.23,22.01125,16.963125,11.41,20.9725,14.54125,29.96,11.8525,16.1825,7.07,2.86,5.03,6.22,2.7855,21.08,2.93
"118","January","G21",NA,5,39.45,22.01125,16.963125,8.41,20.9725,14.54125,30.53,11.8525,16.1825,6.39,2.86,5.03,7.94,2.7855,22.39,5.3
"119","January","G22",NA,5,37.84,22.01125,16.963125,10.71,20.9725,14.54125,29.45,11.8525,16.1825,6.21,2.86,5.03,6.58,2.7855,20.69,4.88
